time,open,high,low,close,Plot,Plot.1,Plot.2,Plot.3,Plot.4,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Plot.5,Plot.6,Plot.7,Shapes,Shapes.1,Shapes.2,Shapes.3,Shapes.4,Shapes.5,Shapes.6,vwaprizz14,vwaprizz14_ema,Plot.8,Plot.9,RIZZY-2,a boaring middle line,a_boaring_line,a_boaring_line.1,buy,sell_sig,sell_sig.1,sell_sig.2,sell_sig.3,test,RSI
2008-11-11 15:30:00,9.3,9.3,9.3,9.3,,,,,,701,,,,,,,,,,,,,,,,,0.0,,0.0,,,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,
2008-11-28 10:30:00,10.85,10.85,10.85,10.85,,,,,,500,,,,,,,,,,,,,,,,,0.0,,0.0,,,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,
2008-12-01 16:30:00,11.97,11.97,11.97,11.97,,,,,,200,,,,,,,,,,,,,,,,,0.0,,0.0,,100.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,100.0
2008-12-03 10:30:00,11.95,11.95,11.95,11.95,,11.017499999999998,,,,500,,,,,,,,,,,,,,,,,0.0,,0.0,,98.5239852398523,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,98.5239852398523
2008-12-03 11:30:00,12.41,12.41,12.41,12.41,11.295999999999998,11.794999999999998,,,,100,,,,,,,,,,,,,,,,,0.0,,0.0,,99.12087912087908,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,99.12087912087908
2008-12-03 15:30:00,12.2,12.2,12.2,12.2,11.476799999999995,12.1325,,,,200,,,,,,,,,,,,,,,,,0.0,,0.0,,72.39165329052959,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,72.39165329052959
2008-12-16 11:30:00,12.25,12.25,12.25,12.25,11.631439999999998,12.2025,,,,100,,,,,,,,,,,,,,,,,0.0,,0.0,,75.53342816500705,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,75.53342816500705
2008-12-18 13:30:00,12.28,12.38,12.28,12.38,11.781152,12.31,,,,300,,,,,,,,,,,,,,,,,0.0,,0.0,,84.6291331546023,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,84.6291331546023
2008-12-26 14:30:00,12.7,12.75,12.7,12.75,11.974921599999998,12.395,,,,850,,,,,,,,,,,,,,,,,0.0,,0.0,,95.06739317464869,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,95.06739317464869
2008-12-29 10:30:00,13.02,13.02,13.0,13.0,12.17993728,12.595,,,,784,,,,,,,,,,,,,,,,,0.0,,0.0,,97.42784507252877,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,97.42784507252877
2008-12-29 11:30:00,13.0,14.0,13.0,14.0,12.543949823999998,13.0325,,,,421,,,,,,,,,,,,,,,,,0.0,,0.0,,99.46727785176695,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,99.46727785176695
2008-12-29 13:30:00,13.75,13.75,13.75,13.75,12.785159859199998,13.374999999999998,,,,100,,,,,,,,,,,,,,,,,0.0,,0.0,,71.22895734912504,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,71.22895734912504
2008-12-29 15:30:00,13.75,14.25,13.75,14.25,13.07812788736,13.75,,,,700,,,,,,,,,,,,,,,,,0.0,,0.0,,86.52777633533083,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,,86.52777633533083
2008-12-30 11:30:00,14.6,14.6,14.6,14.6,13.382502309888,14.15,,,,282,,,,,,,,,,,,,,,,,100.0,7.142857142857142,100.0,7.142857142857142,92.27705442140422,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,92.27705442140422
2008-12-30 12:30:00,14.6,14.75,14.6,14.75,13.6560018479104,14.3375,,,,700,,,,,,,,,,,,,,,,,100.0,19.52380952380953,100.0,19.52380952380953,94.34542102028273,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,94.34542102028273
2008-12-30 14:30:00,14.0,14.0,14.0,14.0,13.72480147832832,14.4,,,,300,,,,,,,,,,,,,,,,,100.0,30.253968253968253,100.0,30.253968253968253,25.649822767528605,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,25.649822767528605
2008-12-30 15:30:00,14.0,14.0,14.0,14.0,13.779841182662654,14.3375,,,,758,,,,,,,,,,,,,,,,,98.81901329427849,39.395974259342964,98.81901329427849,39.395974259342964,25.649822767528605,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,25.649822767528605
2008-12-30 16:30:00,14.19,14.19,14.19,14.19,13.861872946130125,14.234999999999998,,,,1000,,,,,,,,,,,,,,,,,96.77363635353416,47.04632920523512,96.77363635353416,47.04632920523512,57.216828434825665,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,57.216828434825665
2009-01-02 12:30:00,13.56,13.56,13.56,13.56,13.8014983569041,13.937499999999995,,,,1000,,,,,,,,,,,,,,,,,96.3321755893885,53.617775389788896,96.3321755893885,53.617775389788896,14.995566709626345,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,14.995566709626345
2009-01-02 15:30:00,13.65,13.65,13.65,13.65,13.771198685523279,13.849999999999998,,,,322,490.9,,,,,,,,,,,,,,,,87.51904722993645,58.137944968475246,87.51904722993645,58.137944968475246,29.796754597727016,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,29.796754597727016
2009-01-07 14:30:00,13.26,13.26,13.26,13.26,13.668958948418624,13.665,,,,100,460.85,,,,,,,,,,,,,,,,86.74195886000878,61.95181348734639,86.74195886000878,61.95181348734639,11.875654876617704,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11.875654876617704
2009-01-12 14:30:00,13.5,13.5,13.5,13.5,13.635167158734898,13.4925,,,,100,440.85,,,,,,,,,,,,,,,,79.29030277053657,64.26361205843841,79.29030277053657,64.26361205843841,49.360798121978426,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,49.360798121978426
2009-01-13 13:30:00,12.85,12.85,12.85,12.85,13.478133726987915,13.314999999999998,,,,200,440.85,,,,,,,,,,,,,,,,74.6964256285543,65.65465386778719,74.6964256285543,65.65465386778719,14.939399235204306,50.0,90.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,14.939399235204306
2009-01-20 11:30:00,12.26,12.26,12.26,12.26,13.234506981590336,12.9675,,,,100,420.85,,,,,,,,,,,,,,,,66.81529610023007,65.80940616544622,66.81529610023007,65.80940616544622,6.593009205084599,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.593009205084599
2009-01-29 15:30:00,12.75,12.75,12.75,12.75,13.137605585272267,12.840000000000002,,,,100,420.85,,,,,,,,,,,,,,,,57.569893839304285,64.71080452196064,57.569893839304285,64.71080452196064,51.55194124909896,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.55194124909896
2009-02-03 12:30:00,11.05,11.05,11.05,11.05,12.720084468217815,12.227500000000004,,,,100,415.85,,,,,,,,,,,,,,,,54.45003930930557,63.34270249360664,54.45003930930557,63.34270249360664,11.878896318159876,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.878896318159876
2009-02-13 12:30:00,11.2,11.2,11.2,11.2,12.416067574574251,11.815000000000005,,,,300,425.85,,,,,,,,,,,,,,,,43.385201345325605,60.68170234050249,43.385201345325605,60.68170234050249,22.41543942731684,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.41543942731684
2009-02-18 14:30:00,12.43,12.43,12.43,12.43,12.4188540596594,11.857500000000005,,,,100,415.85,,,,,,,,,,,,,,,,33.74111918708085,57.089624586712944,33.74111918708085,57.089624586712944,73.79723154380012,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,73.79723154380012
2009-02-18 15:30:00,12.26,12.26,11.0,11.0,12.13508324772752,11.420000000000005,,,,1700,458.35,,,,,,,,,,,,,,,,40.83945333815966,54.92293508690583,40.83945333815966,54.92293508690583,29.055076925193557,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,29.055076925193557
2009-02-19 15:30:00,11.4,11.4,11.4,11.4,11.988066598182016,11.507500000000006,12.717,,,300,434.15,,,,,,,,,,,,,,,,39.82863239976168,52.91036139528661,39.82863239976168,52.91036139528661,47.023625793410815,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,47.023625793410815
